Official Name Suburb
AARONS PASS
ABBOTSBURY
ABBOTSFORD (NSW)
ABERCROMBIE
ABERCROMBIE RIVER
ABERDARE
ABERDEEN (NSW)
ABERFOYLE
ABERGLASSLYN
ABERMAIN
ABERNETHY
ABINGTON (NSW)
ACACIA CREEK
ACACIA GARDENS
ADAMINABY
ADAMSTOWN
ADAMSTOWN HEIGHTS
ADELONG
ADJUNGBILLY
AFTERLEE
AGNES BANKS
AIRDS
AKOLELE
ALBERT
ALBION PARK
ALBION PARK RAIL
ALBURY
ALDAVILLA
ALECTOWN
ALEXANDRIA
ALFORDS POINT
ALFREDTOWN
ALICE
ALISON (CENTRAL COAST - NSW)
ALISON (DUNGOG - NSW)
ALLAMBIE HEIGHTS
ALLANDALE (NSW)
ALLAWAH
ALLEENA
ALLGOMERA
ALLWORTH
ALLYNBROOK
ALMA PARK
ALPINE
ALSTONVALE
ALSTONVILLE
ALUMY CREEK
AMAROO (NSW)
AMBARVALE
AMOSFIELD
ANABRANCH NORTH
ANABRANCH SOUTH
ANAMBAH
ANDO
ANEMBO
ANGLEDALE
ANGLEDOOL
ANGLERS REACH
ANGOURIE
ANGUS
ANNA BAY
ANNANDALE (NSW)
ANNANGROVE
APPIN (NSW)
APPLE TREE FLAT
APPLEBY
APPLETREE FLAT
APSLEY (NSW)
ARABLE
ARAKOON
ARALUEN (NSW)
ARATULA (NSW)
ARCADIA (NSW)
ARCADIA VALE
ARDGLEN
ARDING
ARDLETHAN
ARGALONG
ARGENTON
ARGENTS HILL
ARGOON
ARIAH PARK
ARKELL
ARKSTONE
ARMATREE
ARMIDALE
ARNCLIFFE
ARNDELL PARK
ARRAWARRA
ARRAWARRA HEADLAND
ARTARMON
ARTHURVILLE
ARUMPO
ASHBURY
ASHBY (NSW)
ASHBY HEIGHTS
ASHBY ISLAND
ASHCROFT
ASHFIELD (NSW)
ASHFORD (NSW)
ASHLEY
ASHMONT
ASHTONFIELD
ASQUITH
ATHOLWOOD
ATTUNGA
AUBURN (NSW)
AUBURN VALE
AUSTINMER
AUSTRAL
AUSTRAL EDEN
AVALON BEACH
AVISFORD
AVOCA (NSW)
AVOCA BEACH
AVON (NSW)
AVONDALE (NSW)
AVONSIDE
AWABA
AYLMERTON
BAAN BAA
BABINDA (NSW)
BABYL CREEK
BACK CREEK (BLAND - NSW)
BACK CREEK (GWYDIR - NSW)
BACK CREEK (MID-COAST - NSW)
BACK CREEK (QUEANBEYAN-PALERANG REGIONAL - NSW)
BACK CREEK (TENTERFIELD - NSW)
BACK CREEK (TWEED - NSW)
BACK FOREST
BACKMEDE
BACKWATER
BADGERYS CREEK
BADJA
BAERAMI
BAERAMI CREEK
BAGNOO
BAGO
BAGOTVILLE
BAKERS CREEK (MID-COAST - NSW)
BAKERS CREEK (NAMBUCCA VALLEY - NSW)
BAKERS CREEK (URALLA - NSW)
BAKERS SWAMP
BALACLAVA (NSW)
BALALA
BALCOLYN
BALD BLAIR
BALD HILLS (NSW)
BALD NOB
BALD RIDGE
BALDERSLEIGH
BALDRY
BALFOURS PEAK
BALGOWLAH
BALGOWLAH HEIGHTS
BALGOWNIE
BALICKERA
BALLADORAN
BALLALABA
BALLDALE
BALLENGARRA
BALLIMORE
BALLINA
BALLYROE
BALMAIN
BALMAIN EAST
BALMORAL (LAKE MACQUARIE - NSW)
BALMORAL (WINGECARRIBEE - NSW)
BALRANALD
BAMARANG
BANDA BANDA
BANDON GROVE
BANGADANG
BANGALEE (NSW)
BANGALOW
BANGHEET
BANGO
BANGOR (NSW)
BANKSIA
BANKSMEADOW
BANKSTOWN
BANKSTOWN AERODROME
BANNABY
BANNISTER (NSW)
BANOON
BANORA POINT
BANYABBA
BAR BEACH
BAR POINT
BARA
BARADINE
BARANGAROO
BARCOONGERE
BARDEN RIDGE
BARDIA
BARDWELL PARK
BARDWELL VALLEY
BARELLAN
BARGO
BARHAM
BARIGAN
BARKERS VALE
BARMEDMAN
BARNEYS REEF
BARNSLEY
BAROOGA
BARRABA
BARRACK HEIGHTS
BARRACK POINT
BARRAGANYATTI
BARRAGGA BAY
BARRATTA (NSW)
BARREN GROUNDS
BARRENGARRY
BARRETTS CREEK
BARRINGELLA
BARRINGTON (NSW)
BARRINGTON TOPS
BARRY (BLAYNEY - NSW)
BARRY (TAMWORTH REGIONAL - NSW)
BARWANG
BARYULGIL
BASIN VIEW
BASS HILL
BASSENDEAN (NSW)
BATAR CREEK
BATEAU BAY
BATEHAVEN
BATEMANS BAY
BATHAMPTON
BATHURST
BATLOW
BAULKHAM HILLS
BAW BAW (NSW)
BAWLEY POINT
BAXTERS RIDGE
BAYVIEW (NSW)
BEACON HILL
BEACONSFIELD (NSW)
BEAN CREEK
BEARBONG
BEAUMONT (NSW)
BEAUMONT HILLS
BECKOM
BECTIVE
BECTRIC
BEDGERABONG
BEECHWOOD
BEECROFT
BEECROFT PENINSULA
BEELBANGERA
BEEMUNNEL
BEGA
BEGGAN BEGGAN
BELANGLO
BELBORA
BELFIELD
BELFORD
BELFRAYDEN
BELGRAVIA
BELIMBLA PARK
BELL (NSW)
BELLA VISTA
BELLAMBI
BELLANGRY
BELLATA
BELLAWONGARAH
BELLBIRD
BELLBIRD HEIGHTS
BELLBROOK
BELLEVUE HILL
BELLIMBOPINNI
BELLINGEN
BELLMOUNT FOREST
BELLTREES
BELMONT (NSW)
BELMONT NORTH
BELMONT SOUTH
BELMORE
BELMORE RIVER
BELOKA
BELOWRA
BELROSE
BEMBOKA
BEN BULLEN
BEN LOMOND (NSW)
BENANDARAH
BENDALONG
BENDICK MURRELL
BENDOLBA
BENDOURA
BENEREMBAH
BENGALLA
BENNETTS GREEN
BENOLONG
BENSVILLE
BENTLEY (NSW)
BERALA
BERAMBING
BERESFIELD
BERGALIA
BERKELEY
BERKELEY VALE
